Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.001,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.001,softmax,0.3778538703918457
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.01,softmax,0.3481735289096832
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,128,tanh,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.001,sigmoid,0.9623287916183472
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.001,softmax,0.956620991230011
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.1,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,256,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.001,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.001,softmax,0.3424657583236694
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,256,sigmoid,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.001,sigmoid,0.4212328791618347
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.001,softmax,0.5114155411720276
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.01,softmax,0.3413242101669311
1,32,"(5, 5)",1,256,tanh,0.4,32,50,0.1,sigmoid,0.3424657583236694
