Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,128,sigmoid,0.001,32,30,0.8036529680365296
1,128,sigmoid,0.001,32,50,0.860730593607306
1,128,sigmoid,0.001,32,70,0.8447488584474886
1,128,sigmoid,0.001,64,10,0.547945205479452
1,128,sigmoid,0.001,64,30,0.75
1,128,sigmoid,0.001,64,50,0.817351598173516
1,128,sigmoid,0.001,64,70,0.841324200913242
1,128,sigmoid,0.01,16,10,0.8401826484018264
1,128,sigmoid,0.01,16,30,0.8310502283105022
1,128,sigmoid,0.01,16,50,0.8424657534246576
1,128,sigmoid,0.01,16,70,0.8299086757990868
1,128,sigmoid,0.01,32,10,0.8242009132420092
1,128,sigmoid,0.01,32,30,0.8230593607305936
1,128,sigmoid,0.01,32,50,0.8310502283105022
1,128,sigmoid,0.01,32,70,0.821917808219178
1,128,sigmoid,0.01,64,10,0.8356164383561644
1,128,sigmoid,0.01,64,30,0.8344748858447488
1,128,sigmoid,0.01,64,50,0.8264840182648402
1,128,sigmoid,0.01,64,70,0.8242009132420092
1,128,sigmoid,0.1,16,10,0.589041095890411
1,128,sigmoid,0.1,16,30,0.6301369863013698
1,128,sigmoid,0.1,16,50,0.6232876712328768
1,128,sigmoid,0.1,16,70,0.658675799086758
1,128,sigmoid,0.1,32,10,0.6210045662100456
1,128,sigmoid,0.1,32,30,0.6700913242009132
1,128,sigmoid,0.1,32,50,0.656392694063927
1,128,sigmoid,0.1,32,70,0.656392694063927
1,128,sigmoid,0.1,64,10,0.6746575342465754
1,128,sigmoid,0.1,64,30,0.7100456621004566
1,128,sigmoid,0.1,64,50,0.678082191780822
1,128,sigmoid,0.1,64,70,0.730593607305936
1,128,tanh,0.001,16,10,0.797945205479452
1,128,tanh,0.001,16,30,0.817351598173516
1,128,tanh,0.001,16,50,0.8276255707762558
1,128,tanh,0.001,16,70,0.817351598173516
1,128,tanh,0.001,32,10,0.7374429223744292
1,128,tanh,0.001,32,30,0.8105022831050228
1,128,tanh,0.001,32,50,0.8230593607305936
1,128,tanh,0.001,32,70,0.821917808219178
1,128,tanh,0.001,64,10,0.7009132420091324
1,128,tanh,0.001,64,30,0.8116438356164384
1,128,tanh,0.001,64,50,0.8036529680365296
1,128,tanh,0.001,64,70,0.8162100456621004
1,128,tanh,0.01,16,10,0.7557077625570776
1,128,tanh,0.01,16,30,0.8139269406392694
1,128,tanh,0.01,16,50,0.817351598173516
1,128,tanh,0.01,16,70,0.8207762557077626
1,128,tanh,0.01,32,10,0.8184931506849316
1,128,tanh,0.01,32,30,0.8139269406392694
1,128,tanh,0.01,32,50,0.8344748858447488
1,128,tanh,0.01,32,70,0.8321917808219178
1,128,tanh,0.01,64,10,0.8093607305936074
1,128,tanh,0.01,64,30,0.8242009132420092
1,128,tanh,0.01,64,50,0.8276255707762558
