Learning Rate,Activation,Units per Layer,Hidden Layers,Epochs,Batch Size,Accuracy
0.01,relu,256,1,70,16,0.8812785388127854
0.01,relu,256,1,10,32,0.860730593607306
0.01,relu,256,1,30,32,0.8926940639269406
0.01,relu,256,1,50,32,0.8926940639269406
0.01,relu,256,1,70,32,0.8812785388127854
0.01,relu,256,1,10,64,0.863013698630137
0.01,relu,256,1,30,64,0.8744292237442922
0.01,relu,256,1,50,64,0.8812785388127854
0.01,relu,256,1,70,64,0.8584474885844748
0.1,relu,256,1,10,16,0.8835616438356164
0.1,relu,256,1,30,16,0.8767123287671232
0.1,relu,256,1,50,16,0.8835616438356164
0.1,relu,256,1,70,16,0.8858447488584474
0.1,relu,256,1,10,32,0.8721461187214612
0.1,relu,256,1,30,32,0.8767123287671232
0.1,relu,256,1,50,32,0.8881278538812786
0.1,relu,256,1,70,32,0.8812785388127854
0.1,relu,256,1,10,64,0.8584474885844748
0.1,relu,256,1,30,64,0.867579908675799
0.1,relu,256,1,50,64,0.9018264840182648
0.1,relu,256,1,70,64,0.8767123287671232
0.001,sigmoid,256,1,10,16,0.7054794520547946
0.001,sigmoid,256,1,30,16,0.8059360730593608
0.001,sigmoid,256,1,50,16,0.8059360730593608
0.001,sigmoid,256,1,70,16,0.815068493150685
0.001,sigmoid,256,1,10,32,0.6872146118721462
0.001,sigmoid,256,1,30,32,0.7785388127853882
0.001,sigmoid,256,1,50,32,0.7945205479452054
0.001,sigmoid,256,1,70,32,0.8013698630136986
0.001,sigmoid,256,1,10,64,0.6484018264840182
0.001,sigmoid,256,1,30,64,0.7397260273972602
0.001,sigmoid,256,1,50,64,0.7785388127853882
0.001,sigmoid,256,1,70,64,0.7968036529680366
0.01,sigmoid,256,1,10,16,0.8082191780821918
0.01,sigmoid,256,1,30,16,0.8105022831050228
0.01,sigmoid,256,1,50,16,0.8333333333333334
0.01,sigmoid,256,1,70,16,0.8424657534246576
0.01,sigmoid,256,1,10,32,0.8082191780821918
0.01,sigmoid,256,1,30,32,0.8059360730593608
0.01,sigmoid,256,1,50,32,0.8082191780821918
0.01,sigmoid,256,1,70,32,0.817351598173516
0.01,sigmoid,256,1,10,64,0.776255707762557
0.01,sigmoid,256,1,30,64,0.7990867579908676
0.01,sigmoid,256,1,50,64,0.7968036529680366
0.01,sigmoid,256,1,70,64,0.7922374429223744
0.1,sigmoid,256,1,10,16,0.6210045662100456
0.1,sigmoid,256,1,30,16,0.682648401826484
0.1,sigmoid,256,1,50,16,0.6484018264840182
0.1,sigmoid,256,1,70,16,0.6917808219178082
0.1,sigmoid,256,1,10,32,0.6940639269406392
0.1,sigmoid,256,1,30,32,0.6894977168949772
0.1,sigmoid,256,1,50,32,0.7191780821917808
0.1,sigmoid,256,1,70,32,0.6940639269406392
0.1,sigmoid,256,1,10,64,0.7625570776255708
0.1,sigmoid,256,1,30,64,0.773972602739726
0.1,sigmoid,256,1,50,64,0.7557077625570776
0.1,sigmoid,256,1,70,64,0.7602739726027398
